"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",7.19719368137041,
"PRT","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-66.0159235831787,
"SVK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",6.76294671217306,
"SVK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",1.6115688846177,
"SVK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",9.10157203799164,
"SVK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",16.1918146154561,
"SVK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-45.299184,
"SVK","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-78.618624,
"ESP","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",6.09181721345425,
"ESP","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-2.97891547317506,
"ESP","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",4.63918811745967,
"ESP","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-4.882177477766,
"ESP","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-21.3903084477316,
"ESP","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-77.3,
"SWE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-4.28288661085273,
"SWE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-3.25212990887011,
"SWE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",3.18152904700587,
"SWE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",1.60651966499969,
"SWE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-3.40239686488406,
"SWE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-37.2556169890406,
"CHE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",6.26776964140599,
"CHE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-1.49592929304787,
"CHE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",1.71808963345535,
"CHE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",8.15027286650282,
"CHE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-10.2792560655655,
"CHE","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-40.3252530880341,
"GBR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",4.17664715947602,
"GBR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-2.16755043408683,
"GBR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",1.89550744655534,
"GBR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-4.70271148890593,
"GBR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-4.12705072882431,
"GBR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-78.6136006125381,
"USA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",4.25232578965209,
"USA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",0.0632201875093144,
"USA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-0.563456297931821,
"USA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",0.483280207017712,
"USA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-1.7913301828108,
"USA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-43.8530971222995,
"CHL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-2.50149168787149,
"CHL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",9.7605451979964,
"CHL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",3.83994969718903,
"CHL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-0.401950679434968,
"CHL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-12.8739604059972,
"CHL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-59.04,
"COL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",6.93725998574965,
"COL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",5.97969781739614,
